,Year of Alert,Code,Title of Alert
0,2004,TA04-356A,Exploitation of phpBB highlight parameter vulnerability
1,2004,SA04-336A,Update for Microsoft Internet Explorer
2,2004,TA04-336A,Update Available for Microsoft Internet Explorer Vulnerability
3,2004,TA04-316A,Cisco IOS Input Queue Vulnerability
4,2004,SA04-315A,Vulnerability in Microsoft Internet Explorer
5,2004,TA04-315A,Buffer Overflow in Microsoft Internet Explorer
6,2004,TA04-293A,Multiple Vulnerabilities in Microsoft Internet Explorer
7,2004,SA04-286A,"Multiple Vulnerabilities in Microsoft Windows, Internet Explorer, and Excel"
8,2004,TA04-261A,Multiple Vulnerabilities in Mozilla Products
9,2004,SA04-261A,Multiple Vulnerabilities in Mozilla Products
10,2004,TA04-260A,Microsoft Windows JPEG component buffer overflow
11,2004,SA04-258A,Vulnerability in Microsoft Image Processing Component
12,2004,TA04-247A,Vulnerabilities in MIT Kerberos 5
13,2004,TA04-245A,Multiple Vulnerabilities in Oracle Products
14,2004,SA04-243A,Security Improvements in Windows XP Service Pack 2
15,2004,TA04-217A,Multiple Vulnerabilities in libpng
16,2004,SA04-212A,Multiple Vulnerabilities in Systems Running Microsoft Windows
17,2004,TA04-212A,Critical Vulnerabilities in Microsoft Windows
18,2004,SA04-208A,New Variant of MyDoom Virus
19,2004,TA04-196A,Multiple Vulnerabilities in Microsoft Windows Components and Outlook Express
20,2004,SA04-196A,Multiple Vulnerabilities in Microsoft Windows Components and Outlook Express
21,2004,SA04-184A,Important Internet Explorer Update Available
22,2004,TA04-184A,Internet Explorer Update to Disable ADODB.Stream ActiveX Control
23,2004,TA04-174A,Multiple Vulnerabilities in ISC DHCP 3
24,2004,SA04-163A,Cross-Domain Vulnerability in Internet Explorer
25,2004,TA04-163A,Cross-Domain Redirect Vulnerability in Internet Explorer
26,2004,TA04-160A,SQL Injection Vulnerabilities in Oracle E-Business Suite
27,2004,TA04-147A,CVS Heap Overflow Vulnerability
28,2004,TA04-111A,Vulnerabilities in TCP
29,2004,TA04-111B,Cisco IOS SNMP Message Handling Vulnerability
30,2005,TA05-362A,Microsoft Windows Metafile Handling Buffer Overflow
31,2005,TA05-347A,Microsoft Internet Explorer Vulnerabilities
32,2005,SA05-347A,Microsoft Internet Explorer Vulnerabilities
33,2005,TA05-312A,Microsoft Windows Image Processing Vulnerabilities
34,2005,SA05-312A,Microsoft Windows Image Processing Vulnerabilities
35,2005,TA05-292A,Oracle Products Contain Multiple Vulnerabilities
36,2005,TA05-291A,Snort Back Orifice Preprocessor Buffer Overflow
37,2005,TA05-284A,"Microsoft Windows, Internet Explorer, and Exchange Server Vulnerabilities"
38,2005,SA05-284A,"Microsoft Windows, Internet Explorer, and Windows Media Technology Vulnerabilities"
39,2005,TA05-229A,Apple Mac Products are Affected by Multiple Vulnerabilities
40,2005,SA05-229A,Apple Mac OS X Multiple Vulnerabilities
41,2005,TA05-224A,VERITAS Backup Exec Uses Hard-Coded Authentication Credentials
42,2005,SA05-221A,Microsoft Windows and Internet Explorer Vulnerabilities
43,2005,TA05-221A,Microsoft Windows and Internet Explorer Vulnerabilities
44,2005,TA05-210A,Cisco IOS IPv6 Vulnerability
45,2005,TA05-194A,Oracle Products Contain Multiple Vulnerabilities
46,2005,TA05-193A,"Microsoft Windows, Internet Explorer, and Word Vulnerabilities"
47,2005,SA05-193A,"Microsoft Windows, Internet Explorer, and Word Vulnerabilities"
48,2005,TA05-189A,Targeted Trojan Email Attacks
49,2005,TA05-180A,VERITAS Backup Exec Software is actively being exploited
50,2005,TA05-165A,Microsoft Windows and Internet Explorer Vulnerabilities
51,2005,SA05-165A,Microsoft Windows and Internet Explorer Vulnerabilities
52,2005,TA05-136A,Apple Mac OS X is affected by multiple vulnerabilities
53,2005,SA05-136A,Apple Mac OS X is affected by multiple vulnerabilities
54,2005,TA05-117A,Oracle Products Contain Multiple Vulnerabilities
55,2005,SA05-102A,Multiple Vulnerabilities in Microsoft Windows Components
56,2005,TA05-102A,Multiple Vulnerabilities in Microsoft Windows Components
57,2005,TA05-039A,Multiple Vulnerabilities in Microsoft Windows Components
58,2005,SA05-039A,Multiple Vulnerabilities in Microsoft Windows Components
59,2005,TA05-026A,Multiple Denial of Service Vulnerablities in Cisco IOS
60,2006,TA06-354A,Mozilla Addresses Multiple Vulnerabilities
61,2006,SA06-354A,Mozilla Addresses Multiple Vulnerabilities
62,2006,TA06-346A,Microsoft Updates for Multiple Vulnerabilities
63,2006,SA06-346A,Vulnerabilities in Microsoft Products
64,2006,TA06-333A,Apple Releases Security Update to Address Multiple Vulnerabilities
65,2006,SA06-333A,Apple Releases Security Update to Address Multiple Vulnerabilities
66,2006,SA06-318A,"Microsoft Security Updates for Windows, Internet Explorer, and Adobe Flash"
