,Name of Product,Price,Items sold
0,New Balance Men's Classic 993 Running Shoes Grey,"HKD 1,356.22",14435
1,New Balance Women's Classic 993 Running Shoes Grey,"HKD 1,356.22",4214
2,New Balance Womens Day Stadium Jacket Black,HKD 387.51,2
3,New Balance Men's Classic 993 Running Shoes Green,"HKD 1,356.22",2178
4,New Balance Men's 574 Shoes Red with Grey,HKD 344.42,403
5,PF Flyers Unisex Center Hi Shoes Black Size,HKD 371.93,124
6,New Balance Women's Classic 993 Running Shoes Blue,"HKD 1,084.96 to HKD 1,356.22",1535
7,PF Flyers Unisex Sandlot Center Lo Shoes Black Size,HKD 340.93,81
8,New Balance Women's Transform Jogger Black,HKD 229.64,42
9,New Balance Women's Anticipate Crop Pullover White,HKD 193.76,20
10,New Balance Women's NB Radiant Heat Bonded Vest Black,HKD 348.68,11
11,New Balance Men's NB Athletics 78 Jacket Grey,HKD 287.07,48
12,New Balance Women's Balance Macrame Crop Bra Green,HKD 251.81,27
13,New Balance 515 Classic Mens Shoes Black,HKD 433.94,237
14,New Balance 410v6 Mens Shoes Black with Blue,HKD 348.76,158
15,New Balance Women's Studio Wide Leg Jumpsuit Black,HKD 387.51,9
16,New Balance Women's NB Heatgrid Hoodie Grey,HKD 258.39,6
17,New Balance Women's Anticipate Crop Pullover Navy,HKD 200.96,16
18,New Balance Women's NB Athletics Stadium Crew Red,HKD 200.96,30
19,New Balance Women's Sport Style Synth Vest Purple,HKD 344.50,7
20,New Balance Women's NB Heat Loft Hoodie Blue,HKD 229.64,15
21,New Balance Women's Anticipate Crop Pullover Black,HKD 200.96,20
22,PF Flyers Unisex Sandlot Center Hi Shoes Black Size,HKD 371.93,10
23,New Balance Men's 515 Shoes White with Black,HKD 251.19,1220
24,New Balance Men's 411 Shoes Black,HKD 402.94,1283
25,New Balance Fresh Foam Arishi Trail Mens Shoes Grey,HKD 464.94,40
26,PF Flyers Unisex Center Lo Shoes Off White Size,HKD 232.43,42
27,New Balance Men's 515 Shoes Grey,HKD 232.43,339
28,New Balance Men's Fresh Foam More Shoes Grey,HKD 401.93,2996
29,New Balance Women's 410v6 Shoes Blue with Blue,HKD 348.76,4
30,New Balance Men's Classic 993 Running Shoes Black with Grey,"HKD 1,356.22",3137
31,New Balance Women's 996 Shoes Black with Tan,HKD 495.94,3
32,New Balance Women's Made in US 990v4 Shoes Navy with Orange,HKD 581.19,0
33,PF Flyers Unisex Center Lo Shoes Black Size,HKD 232.43,63
34,New Balance Men's RFL Impact Run Jacket Black,HKD 387.44,1
35,New Balance Men's 997H New Era Shoes Grey with Red,HKD 574.14,21
36,New Balance Women's 5 Inch Impact Short Black,HKD 193.68,114
37,New Balance Women's Vizo Pro Run Knit Shoes Grey with Pink,HKD 348.76,295
38,New Balance Men's 574 Shoes Grey,HKD 344.42,167
39,New Balance Women's 410v6 Trail Shoes Navy with Grey,HKD 402.94,0
40,New Balance Women's NB Radiant Heat Half Zip Vest Navy,HKD 387.44,2
41,New Balance Men's 997H New Prep Shoes Red with Blue,HKD 348.68,45
42,New Balance Men's 870v5 Shoes Blue,HKD 394.72,69
43,New Balance Women's X-Racer Shoes White with Silver,HKD 348.68,13
44,New Balance 515 Classic Mens Shoes Wheat with Gum,HKD 433.94,80
45,New Balance Men's Fortitech Mixed Media Lined Jacket Grey,HKD 348.76,13
46,New Balance Women's NB Heat Loft Jacket Navy,HKD 344.50,26
47,New Balance Women's NB Heat Loft Jacket Green,HKD 344.50,25
