,subject,majors,link
0,ANTHROPOLOGY,"['Anthropology (Archaeology) (B.A.)', 'Anthropology (Biological Anthropology) (B.A.)', 'Anthropology (Sociocultural Anthropology) (B.A.)', 'Anthropology with a Concentration in Climate Change and Human Solutions (B.A.)', 'Biological Anthropology (B.S.)']",http://anthropology.ucsd.edu/
1,ARTS (See Visual Arts),[''],None
2,BIOENGINEERING (BE),"['Bioengineering (B.S.)*', 'Bioengineering (Biotechnology) (B.S.)*', 'Bioengineering (Bioinformatics) (B.S.)*', 'Bioengineering: BioSystems (B.S.)*']",http://be.ucsd.edu/undergraduate
3,BIOLOGICAL SCIENCES,"['Available to students admitted to UCSD in Fall 2018 or later:', 'Biology with Specialization in Bioinformatics (B.S.)*', 'Ecology, Behavior and Evolution (B.S.)*', 'General Biology (B.S.)*', 'Human Biology (B.S.)*', 'Microbiology (B.S.)*', 'Molecular and Cell Biology (B.S.)*', 'Neurobiology (B.S.)*']",http://www-biology.ucsd.edu/
4,,"['Available to students admitted to UCSD in Fall 2017 or earlier:', 'Biochemistry and Cell Biology (B.S.)*', 'Biology with Specialization in Bioinformatics (B.S.)*', 'Ecology, Behavior and Evolution (B.S.)*', 'General Biology (B.S.)*', 'Human Biology (B.S.)*', 'Microbiology (B.S.)*', 'Molecular Biology (B.S.)*', 'Physiology and Neuroscience (B.S.)*']",None
5,CHEMISTRY & BIOCHEMISTRY,"['Biochemistry/Chemistry (B.S.)', 'Chemistry (B.S.)', 'Environmental Chemistry (B.S.)', 'Molecular Synthesis (B.S.)', 'Pharmacological Chemistry (B.S.)']",http://www-chem.ucsd.edu/
6,CHINESE STUDIES,['Chinese Studies (B.A.)'],http://chinesestudies.ucsd.edu/
7,CLASSICAL STUDIES,['Classical Studies (B.A.)'],http://caesar.ucsd.edu/classical/
8,COGNITIVE SCIENCE (B.A./B.S.),"['Cognitive Science with Specialization in Clinical Aspects of Cognition  (B.S.)', 'Cognitive Science with Specialization in Design and Interaction  (B.S.)', 'Cognitive Science with Specialization in Language and Culture  (B.S.)', 'Cognitive Science with Specialization in Machine Learning and Neural Computation  (B.S.)', 'Cognitive Science with Specialization in Neuroscience  (B.S.)', 'Cognitive and Behavioral Neuroscience (B.S.)']",http://www.cogsci.ucsd.edu/
9,COMMUNICATION,['Communication (B.A.)'],http://communication.ucsd.edu/
10,COMPUTER SCIENCE & ENGINEERING (CSE),"['Computer Engineering (B.S.)*', 'Computer Science (B.A./B.S.)*', 'Computer Science with Specialization in Bioinformatics (B.S)*']",http://www.cse.ucsd.edu/index.php
11,CRITICAL GENDER STUDIES,['Critical Gender Studies (B.A.)'],http://cgs.ucsd.edu/
12,DANCE (see THEATRE),[''],None
13,DATA SCIENCE,['Data Science (B.S.) *'],https://datascience.ucsd.edu/academics/undergraduate/
14,EARTH SCIENCES (SEE SCRIPPS INSTITUTION OF OCEANOGRAPHY),[''],None
